citanje;spol;obrazovanje
0;Z;SSS
0;M;SSS
1;Z;NSS
1;Z;VSS
0;Z;NSS
0;M;SSS
0;Z;SSS
1;Z;SSS
0;M;NSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
1;M;VSS
0;M;SSS
0;Z;SSS
0;Z;SSS
1;Z;SSS
0;M;SSS
0;Z;VSS
0;M;SSS
1;M;SSS
0;Z;SSS
0;Z;SSS
1;M;VSS
0;M;VSS
0;Z;VSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;VSS
0;M;VSS
0;M;VSS
0;M;SSS
0;M;SSS
0;Z;VSS
0;Z;VSS
0;M;VSS
0;M;SSS
0;Z;SSS
0;M;VSS
0;M;VSS
0;Z;VSS
0;M;VSS
1;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;VSS
0;M;VSS
1;M;VSS
0;M;VSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;Z;SSS
1;M;SSS
1;Z;SSS
0;Z;SSS
0;Z;VSS
0;M;SSS
0;Z;SSS
0;Z;VSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;Z;NSS
0;Z;SSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;M;VSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;VSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;Z;VSS
0;M;VSS
0;M;VSS
0;M;VSS
0;Z;SSS
0;Z;VSS
0;Z;SSS
0;M;SSS
0;Z;VSS
0;M;VSS
0;M;SSS
0;M;SSS
0;Z;NSS
0;Z;SSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;VSS
1;Z;SSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;M;VSS
1;M;NSS
0;M;SSS
0;M;SSS
0;M;VSS
1;Z;NSS
0;Z;NSS
1;M;SSS
0;Z;SSS
0;Z;SSS
0;M;NSS
0;M;NSS
0;Z;NSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;Z;VSS
0;M;SSS
0;Z;NSS
0;Z;VSS
0;M;SSS
0;M;VSS
1;Z;SSS
0;Z;VSS
0;M;VSS
0;M;SSS
0;M;SSS
0;M;VSS
0;M;SSS
0;M;SSS
0;M;SSS
0;Z;VSS
0;Z;VSS
0;M;VSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;M;VSS
0;M;NSS
0;M;SSS
0;Z;VSS
1;Z;VSS
0;M;SSS
0;M;VSS
0;M;NSS
0;M;NSS
0;M;VSS
0;M;SSS
0;Z;VSS
0;M;VSS
1;M;VSS
1;Z;VSS
0;Z;SSS
0;M;SSS
0;M;VSS
0;M;VSS
0;Z;VSS
0;M;VSS
1;M;VSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;Z;VSS
0;Z;NSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;M;VSS
0;Z;VSS
0;Z;SSS
0;M;SSS
1;Z;SSS
1;M;SSS
0;Z;SSS
0;Z;NSS
0;Z;SSS
0;Z;SSS
0;Z;NSS
0;M;SSS
0;M;NSS
0;Z;VSS
0;M;SSS
0;Z;NSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;VSS
1;Z;SSS
1;Z;SSS
0;Z;VSS
0;M;SSS
0;Z;VSS
0;M;VSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
1;Z;SSS
0;Z;VSS
0;M;SSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
1;Z;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;Z;VSS
0;Z;VSS
0;Z;SSS
0;Z;VSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;Z;VSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;VSS
0;Z;VSS
0;M;VSS
0;M;VSS
1;M;SSS
0;Z;VSS
1;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;NSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;Z;NSS
0;Z;NSS
0;M;SSS
0;Z;VSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
1;Z;NSS
1;M;SSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;M;NSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;VSS
0;M;VSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;VSS
0;M;SSS
0;M;NSS
0;M;SSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;VSS
0;Z;VSS
1;Z;SSS
0;Z;VSS
0;Z;VSS
0;Z;VSS
0;M;VSS
0;M;VSS
0;Z;VSS
0;M;VSS
0;M;VSS
0;M;VSS
0;M;VSS
0;M;SSS
1;Z;SSS
1;M;SSS
1;M;VSS
0;M;SSS
0;Z;SSS
1;M;SSS
0;Z;SSS
0;Z;SSS
1;M;NSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;VSS
0;Z;VSS
0;Z;SSS
0;Z;SSS
0;M;VSS
0;M;SSS
0;M;NSS
0;M;NSS
0;Z;VSS
0;Z;VSS
1;Z;VSS
0;M;VSS
0;M;SSS
0;M;SSS
1;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;VSS
0;M;SSS
0;M;SSS
0;M;NSS
1;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;VSS
1;Z;VSS
0;Z;SSS
0;Z;VSS
1;M;SSS
0;Z;NSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
1;Z;SSS
0;Z;VSS
0;Z;VSS
0;Z;VSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;NSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;M;VSS
0;M;VSS
0;Z;SSS
1;Z;NSS
0;M;SSS
0;M;SSS
1;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;M;VSS
0;M;SSS
1;Z;SSS
1;M;SSS
0;Z;SSS
0;M;SSS
1;Z;VSS
0;M;VSS
0;Z;SSS
1;Z;NSS
0;M;NSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;Z;NSS
1;Z;SSS
1;Z;SSS
1;Z;SSS
0;M;SSS
0;M;SSS
0;M;NSS
0;Z;SSS
0;M;SSS
0;Z;SSS
1;Z;NSS
1;M;NSS
0;M;SSS
0;M;VSS
0;M;SSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;Z;NSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;VSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;M;VSS
0;M;NSS
0;M;VSS
0;M;SSS
0;M;SSS
0;M;VSS
0;M;SSS
0;M;VSS
0;Z;VSS
0;M;VSS
0;Z;VSS
0;Z;VSS
0;M;VSS
0;Z;SSS
0;Z;VSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;Z;NSS
0;Z;SSS
0;Z;SSS
0;Z;NSS
0;M;SSS
0;M;SSS
0;Z;SSS
1;Z;SSS
0;Z;VSS
0;M;SSS
0;M;VSS
0;M;SSS
0;M;VSS
0;M;SSS
0;M;SSS
0;Z;VSS
0;Z;VSS
0;M;SSS
0;M;NSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;VSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;VSS
0;M;SSS
0;M;SSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;VSS
1;M;NSS
0;Z;VSS
0;M;SSS
0;Z;VSS
1;M;VSS
0;M;SSS
0;M;VSS
0;M;SSS
0;Z;SSS
0;Z;NSS
0;M;NSS
0;M;SSS
0;M;NSS
0;M;SSS
0;Z;NSS
1;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;Z;VSS
0;Z;SSS
0;Z;VSS
0;M;SSS
0;M;NSS
0;Z;NSS
0;Z;SSS
0;Z;VSS
1;M;SSS
0;Z;SSS
0;M;VSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;VSS
0;Z;SSS
0;Z;SSS
0;Z;VSS
1;M;VSS
0;M;VSS
0;M;SSS
0;Z;VSS
0;Z;SSS
0;M;SSS
0;Z;SSS
1;Z;NSS
0;Z;SSS
1;Z;SSS
0;M;VSS
0;Z;VSS
0;Z;SSS
1;M;SSS
0;M;VSS
0;M;VSS
0;M;SSS
0;M;VSS
0;Z;SSS
0;Z;VSS
0;Z;SSS
0;Z;VSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;Z;VSS
0;Z;SSS
0;M;VSS
1;Z;SSS
0;Z;VSS
0;Z;VSS
0;Z;VSS
0;M;VSS
1;Z;NSS
0;M;SSS
1;M;SSS
0;M;VSS
0;Z;SSS
0;M;SSS
0;M;NSS
0;M;SSS
0;Z;SSS
0;Z;VSS
0;M;SSS
0;M;SSS
1;M;SSS
1;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;Z;VSS
1;Z;NSS
0;M;VSS
0;Z;SSS
0;M;VSS
0;M;SSS
0;Z;SSS
1;Z;SSS
0;M;VSS
1;M;VSS
0;M;VSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;VSS
0;Z;SSS
1;Z;SSS
1;M;VSS
0;M;SSS
0;Z;VSS
0;M;VSS
0;Z;VSS
1;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
1;Z;SSS
0;M;SSS
0;M;VSS
1;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;SSS
0;M;VSS
0;M;SSS
1;Z;NSS
0;M;VSS
0;M;VSS
0;M;VSS
1;Z;VSS
0;M;VSS
1;Z;VSS
0;M;VSS
1;M;VSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;Z;VSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;VSS
0;M;SSS
0;M;VSS
0;Z;VSS
0;Z;VSS
0;Z;SSS
0;M;SSS
0;M;SSS
1;M;NSS
0;M;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;VSS
0;Z;VSS
0;M;SSS
1;Z;SSS
0;M;SSS
1;Z;SSS
0;Z;VSS
0;M;SSS
0;Z;SSS
0;M;SSS
0;M;SSS
0;M;VSS
0;M;VSS
0;Z;SSS
0;Z;NSS
0;M;SSS
0;M;SSS
0;M;VSS
0;M;VSS
0;M;VSS
0;Z;SSS
0;M;NSS
0;Z;SSS
0;Z;SSS
0;Z;SSS
0;M;VSS
0;Z;SSS
0;Z;SSS
0;M;SSS
0;M;NSS
0;M;NSS
0;M;NSS
1;Z;SSS
1;Z;SSS
0;Z;SSS
0;M;NSS
1;M;SSS
0;Z;SSS
0;M;SSS
0;Z;SSS
0;M;SSS
1;Z;NSS
0;M;SSS
